solution,time
37411,5.925618886947632
37258,6.035827159881592
37465,6.326228141784668
36862,6.3504908084869385
37591,6.527211666107178
37015,6.458761930465698
37645,6.284250736236572
37600,6.294349193572998
37447,6.371254205703735
36781,6.397848606109619
36673,6.433727025985718
37420,6.346585750579834
37510,6.304908990859985
37447,6.264078378677368
37591,5.988486289978027
37150,6.487363815307617
36934,6.391619682312012
37222,6.246639728546143
38005,6.374094009399414
37690,6.322504043579102
37861,6.339668273925781
37249,6.240420341491699
37150,6.2718024253845215
37735,6.229588508605957
37015,6.602705955505371
37186,6.282986640930176
37186,6.341127157211304
37168,6.367670774459839
37141,6.282565116882324
37267,6.3690409660339355
38032,6.332656383514404
36511,6.4802305698394775
38032,6.301480054855347
37744,6.525922775268555
37051,6.424241781234741
37582,6.303917646408081
37663,6.3906569480896
37528,6.269225358963013
37024,6.254316568374634
37132,6.3537468910217285
37717,6.506481409072876
37681,6.37758994102478
38032,6.452117204666138
37510,6.440865993499756
36988,6.389703989028931
38131,6.593469619750977
37879,6.486104726791382
37501,6.401810646057129
37735,6.32065224647522
37132,6.44323205947876
37600,6.261570930480957
37861,6.478315591812134
38176,6.472872257232666
37843,6.378891944885254
37114,6.319723129272461
36925,6.336796522140503
37159,6.295336723327637
37951,6.5158607959747314
37807,6.422103643417358
37303,6.339891195297241
36871,6.309931755065918
36736,6.435556888580322
36889,6.2745935916900635
36817,6.480477571487427
37177,6.3297953605651855
37402,6.253042697906494
36718,6.18567681312561
37069,6.250978469848633
36790,6.458081007003784
37690,6.3098437786102295
37321,6.453201055526733
37168,6.3011603355407715
36808,6.38197922706604
37132,6.288976192474365
37546,6.499656677246094
37519,6.413703203201294
37627,6.442934274673462
37987,6.387834072113037
37177,6.263471841812134
36763,6.284884214401245
37987,6.497987508773804
38707,6.3376288414001465
36961,6.281753301620483
37393,6.56327223777771
37753,6.304927110671997
36943,6.365631818771362
37771,6.3777735233306885
37771,6.328234910964966
37015,6.333125591278076
36934,6.300495386123657
37177,6.363348960876465
37780,6.47405743598938
37672,6.3059515953063965
37240,6.415920257568359
37933,6.351286172866821
37456,6.226395845413208
37447,6.34368896484375
37753,6.428443431854248
37789,6.239631175994873
36718,6.36545205116272
