solution,time
56410,11.004491329193115
56527,10.775571346282959
56383,10.842356443405151
56464,10.843883037567139
56482,10.928447246551514
57004,11.036922454833984
56446,11.012341737747192
56635,11.27260136604309
56581,11.13381838798523
56689,11.517385244369507
56473,12.173050880432129
56302,12.110151529312134
56500,14.894750833511353
56617,11.620450019836426
56599,11.728670835494995
56536,11.736541986465454
56545,11.687948226928711
56689,11.570829391479492
57175,11.623951435089111
56491,11.93687891960144
56707,11.803864002227783
56410,11.644497156143188
56527,11.934786796569824
56617,11.583659172058105
56716,11.476510286331177
56473,11.6044180393219
56599,11.6879563331604
56554,11.65509819984436
56617,11.641833543777466
56536,11.518819570541382
56653,11.536061525344849
56473,11.433032274246216
56446,11.380661487579346
56527,11.497298240661621
56644,11.506667375564575
56707,12.317194700241089
56473,11.276631116867065
56464,11.251215934753418
56392,11.33793330192566
56500,11.166500091552734
56491,11.422664403915405
57229,11.317931175231934
56437,11.377462387084961
56959,11.27449631690979
56545,11.222674131393433
56428,11.22713589668274
56563,11.237682104110718
56635,11.236769914627075
56734,11.28471302986145
56401,11.222932577133179
56536,11.778342247009277
56680,11.873734712600708
56734,12.054643392562866
56329,11.344009160995483
56374,11.42366075515747
56554,11.579589605331421
56806,11.361676454544067
56410,11.254189014434814
56383,11.305570125579834
56608,11.321911334991455
56734,11.232233047485352
56815,10.993916988372803
56743,11.20424771308899
57796,11.716233968734741
56545,11.981895923614502
57220,11.967108964920044
56509,11.453438997268677
56599,11.15998649597168
56383,12.28990626335144
56932,11.550261497497559
56698,11.122296571731567
56428,10.944998741149902
56419,10.932522058486938
56455,10.876939535140991
56428,11.01156997680664
56419,12.018743515014648
56536,11.386535406112671
56653,11.414166450500488
56761,11.408224105834961
57148,11.38407301902771
56365,12.048077583312988
56446,10.979902744293213
56680,11.325192213058472
56518,11.760319709777832
56518,11.161636352539062
56509,11.226675510406494
56401,11.080913782119751
56707,11.05344033241272
57211,11.17328429222107
56626,11.215069055557251
56599,11.02778172492981
56527,11.143190145492554
56446,10.917315006256104
56455,11.046074151992798
56446,11.300235271453857
