solution,time
78172,0.06327986717224121
75436,0.048150062561035156
75598,0.09453582763671875
76300,0.050298213958740234
75562,0.03252124786376953
74185,0.05154824256896973
78856,0.020316362380981445
75346,0.023592233657836914
76678,0.05710935592651367
75805,0.0176546573638916
76786,0.07547640800476074
77146,0.035599470138549805
75931,0.04616808891296387
79639,0.04157876968383789
73636,0.0447995662689209
76732,0.01663994789123535
75571,0.03678488731384277
73762,0.06305456161499023
78019,0.04848980903625488
78451,0.09720325469970703
73645,0.029567241668701172
77551,0.02668142318725586
77461,0.03265261650085449
76390,0.03285646438598633
75544,0.031182050704956055
75409,0.08442878723144531
74194,0.053910255432128906
74905,0.02022242546081543
76066,0.07409310340881348
75238,0.013945817947387695
76795,0.11837887763977051
79261,0.04344677925109863
74923,0.05985713005065918
76246,0.033473968505859375
74635,0.036420345306396484
74770,0.05106520652770996
75220,0.042374372482299805
78244,0.041466712951660156
75967,0.033385515213012695
75175,0.033843278884887695
77065,0.036554574966430664
76930,0.042169809341430664
77317,0.06894493103027344
76417,0.020900964736938477
77497,0.051466941833496094
76957,0.07976651191711426
76345,0.02633953094482422
76435,0.02781081199645996
76318,0.04526329040527344
76255,0.029561281204223633
78739,0.12132143974304199
73924,0.0987997055053711
77362,0.03282356262207031
78658,0.04987835884094238
76858,0.03507208824157715
77866,0.01397395133972168
76651,0.03386688232421875
74464,0.03899121284484863
76165,0.07085680961608887
75391,0.029306650161743164
74905,0.10822010040283203
78001,0.10866236686706543
73771,0.01417398452758789
75121,0.01715397834777832
75364,0.017473459243774414
77290,0.07633256912231445
77038,0.03242897987365723
74599,0.05649209022521973
75238,0.049605607986450195
75787,0.04268050193786621
75931,0.04971623420715332
74959,0.05420184135437012
72808,0.023406982421875
75976,0.08570384979248047
76642,0.0418853759765625
78478,0.10862040519714355
74743,0.09318184852600098
75895,0.05204963684082031
74653,0.01429295539855957
75004,0.05333065986633301
74572,0.061350345611572266
73978,0.13359642028808594
77290,0.10644388198852539
78577,0.032019853591918945
72646,0.025114059448242188
76876,0.05410146713256836
76381,0.05594801902770996
75112,0.024747371673583984
77407,0.028845787048339844
74473,0.1886303424835205
76498,0.012104988098144531
75652,0.060427188873291016
75031,0.010918140411376953
73987,0.039630889892578125
75733,0.05286049842834473
75256,0.013607025146484375
72601,0.026543378829956055
76210,0.0498356819152832
79342,0.050041913986206055
77254,0.07148122787475586
75940,0.043083906173706055
77677,0.05021047592163086
75652,0.09300589561462402
76363,0.025698184967041016
76876,0.07485365867614746
77128,0.06977462768554688
78559,0.02061176300048828
76156,0.042105913162231445
75634,0.05661344528198242
77443,0.03942537307739258
74806,0.11830806732177734
79405,0.017476320266723633
