solution,time
36682,5.954501152038574
36799,6.320043087005615
36817,6.5093653202056885
36385,6.020941734313965
37114,6.226133346557617
36727,6.063443660736084
36862,6.132822513580322
36340,5.893030405044556
36925,6.148513317108154
36745,6.063826084136963
36439,6.10459303855896
36763,6.170555591583252
37087,6.152213096618652
36709,5.998182773590088
36304,5.829827785491943
36853,6.281125068664551
36889,6.187734127044678
36160,6.255094528198242
36952,6.241578817367554
36250,6.269961595535278
36709,6.282548189163208
37276,6.334449529647827
37222,6.205934524536133
37132,6.349715948104858
36223,6.207889795303345
36790,6.272586345672607
36745,6.319491624832153
37654,6.451426029205322
36160,5.766268730163574
36799,6.161147832870483
36916,6.1717143058776855
37438,6.187189817428589
36925,6.292057514190674
36979,6.101943731307983
37195,6.207712650299072
37114,6.119422435760498
36979,6.277961492538452
36619,6.143743991851807
36772,6.254580497741699
36646,6.311449766159058
36790,6.02786660194397
36529,6.194741725921631
37195,6.048849105834961
36547,6.255356073379517
36133,6.134832143783569
36556,6.182723045349121
36952,6.258561372756958
36736,6.12235426902771
36457,6.265368223190308
37276,6.1109724044799805
36925,6.157786130905151
36727,6.19150710105896
36826,6.1841020584106445
36916,6.048051357269287
37087,5.866053581237793
36601,6.1324028968811035
37240,5.988832473754883
37114,6.041636943817139
36466,5.967308521270752
36592,6.31926155090332
36583,6.081527233123779
36871,6.012286901473999
36790,6.0942840576171875
36601,6.08977484703064
37474,6.205302715301514
36763,6.025576114654541
37141,6.258308172225952
36556,5.906443357467651
37267,6.076482534408569
36628,6.025813341140747
36943,6.02341103553772
36772,6.075047492980957
36862,6.081329584121704
37402,6.271179676055908
37069,6.2254228591918945
36637,6.03614616394043
36790,5.9027392864227295
36673,6.306117534637451
36682,6.220203161239624
36700,5.986992835998535
37600,6.134581804275513
36853,6.21831202507019
36826,6.228806018829346
37024,6.162470817565918
36637,6.225708961486816
36943,6.008021593093872
36520,6.073935270309448
37186,6.282290935516357
37141,6.125075340270996
37807,6.303370237350464
37753,6.088355302810669
37366,6.235671520233154
36898,6.325329065322876
36475,6.255620002746582
36979,6.337390661239624
36556,6.173651695251465
36808,6.149859666824341
36799,6.189447641372681
36898,6.115712881088257
37159,6.162986755371094
