solution,time
57382,4.60040020942688
57715,4.650514364242554
57310,4.841133117675781
57616,4.777507305145264
57301,4.686843156814575
57076,4.888718605041504
57103,4.643280029296875
57922,4.707257032394409
58390,4.794952630996704
57526,4.841641187667847
57589,4.743524789810181
57220,4.7396392822265625
57481,4.75935697555542
57832,4.825931787490845
58858,4.799925088882446
57571,4.9074485301971436
57571,4.7080957889556885
57823,4.74095606803894
56968,4.7198803424835205
57049,4.7438037395477295
57121,4.708241939544678
57364,4.719917297363281
57589,4.999172210693359
57418,4.692803621292114
57454,4.69844388961792
57409,4.6762518882751465
57634,4.7191243171691895
57526,4.589549541473389
57490,4.607781648635864
57661,4.720656156539917
57355,4.678528070449829
57760,4.675998687744141
58624,4.726675033569336
57751,4.705487489700317
57589,4.656823635101318
57067,4.622461318969727
57319,4.622561454772949
57751,4.649848937988281
58264,4.673525094985962
58678,4.682010889053345
57310,4.581141710281372
58102,4.670073509216309
57625,4.646223545074463
57193,4.630000352859497
57229,4.63239312171936
57634,4.654202938079834
57733,4.8602659702301025
57382,4.664386987686157
57427,4.603894233703613
57598,4.721457481384277
58156,4.788625955581665
58237,4.69806694984436
57157,5.40021538734436
57535,4.918642997741699
58012,4.726454019546509
57940,4.683392763137817
57607,4.627800464630127
57445,4.63823127746582
58264,4.956166505813599
57544,4.903442859649658
57616,4.697311639785767
57994,4.624371767044067
57256,4.589000463485718
57742,4.6787755489349365
57571,4.670576333999634
57913,4.652955055236816
58048,4.633530378341675
58552,4.7040183544158936
57859,4.6463212966918945
57616,4.617983341217041
58345,4.660451889038086
56986,4.617737531661987
57697,4.68419075012207
57904,4.6334662437438965
57886,4.654237747192383
57472,4.659142732620239
57958,4.668798208236694
58408,4.650498390197754
57751,4.612312078475952
57724,4.69303035736084
58048,4.710165977478027
57436,4.60039496421814
57211,4.6193764209747314
57715,4.648987293243408
57400,4.652962684631348
57895,4.6213929653167725
57931,4.693150043487549
57661,4.636854887008667
57292,4.643144130706787
57823,4.660517454147339
57571,4.6546711921691895
57508,4.608437776565552
57166,4.662829875946045
57049,4.623474836349487
58138,4.6266303062438965
57463,4.618742227554321
57202,4.784986972808838
57571,4.7174742221832275
57994,4.638875961303711
57832,4.690244913101196
